brand,model,id
cemoto,CEMOTO D-Series | 3000W–6000W Off-Road Electric Dirt Bike for Teens & Adults,cemoto__off-road-electric-dirt-bike-for-adults-teens
himiway,D3(Cruiser) / Long Range Fat Tire Electric Bike,himiway__himiway-electric-fat-bike
himiway,D5(Zebra) / All-terrain Electric Fat Bike,himiway__premium-all-terrain-electric-bike
himiway,"Himiway D5 2.0 20"" eBike",himiway__d5-2-20
himiway,"Himiway D5 2.0 20"" eBike — 15Ah+20Ah",himiway__d5-2-20--15ah-20ah
himiway,Himiway D5 2.0 Camo eBike,himiway__himiway-d5-st-camo
juiced,Scrambler,juiced__scrambler
juiced,Scrambler — Full Suspension,juiced__scrambler--full-suspension
leoguar,Fastron SO Fat Tire Ebike,leoguar__fastron-so-fat-tire-ebike
leoguar,Flippo Folding Ebike,leoguar__flippo-folding-ebike
leoguar,Zephyr SO Beach Cruiser Ebike,leoguar__zephyr-so-beach-cruiser-ebike
magician,Alpha Mini,magician__alpha-mini
magician,Atlas,magician__atlas
mokwheel,Granite E-Trike,mokwheel__granite
mokwheel,Scoria 2.0 Ebike,mokwheel__scoria
mokwheel,Slate Ebike,mokwheel__slate
priority,PRIORITY E-COAST,priority__ecoast
priority,PRIORITY GLIDE E-BIKE,priority__priority-glide-e-bike
priority,PRIORITY SKYLINE SMART.SHIFT E-BIKE,priority__priority-skyline-smart-shift-e-bike
ride1up,Revv1 DRT,ride1up__revv-1-drt
ride1up,Revv1 EVO,ride1up__revv1-evo
ride1up,Revv1 FS,ride1up__revv-1
ride1up,Revv1 HT,ride1up__revv-1-ht
segway,Segway Myon Electric Bike,segway__segway-ebike-myon
segway,Segway Myon S Electric Bike,segway__segway-ebike-myon-s
segway,Segway Xafari Fat Tire eBike,segway__segway-ebike-xafari
segway,Segway Xyber Electric Bike,segway__segway-ebike-xyber
specialized,Haul LT,specialized__haul-lt
specialized,Levo 4 EVO Comp,specialized__levo-4-evo-comp
specialized,Levo 4 EVO Pro,specialized__levo-4-evo-pro
specialized,S-Works Turbo Creo 2,specialized__s-works-turbo-creo-2-sram-red--xx1-eagle-axs
specialized,S-Works Turbo Kenevo SL 2 Frameset,specialized__s-works-turbo-kenevo-sl-2-frameset
specialized,S-Works Turbo Levo 4,specialized__s-works-turbo-levo-4
specialized,S-Works Turbo Levo 4 Frameset,specialized__s-works-turbo-levo-4-frameset
specialized,S-Works Turbo Levo 4 LTD,specialized__s-works-turbo-levo-4-ltd
specialized,S-Works Turbo Levo R,specialized__s-works-turbo-levo-r
specialized,S-Works Turbo Levo SL 2 Di2,specialized__s-works-turbo-levo-sl-2-di2
specialized,S-Works Turbo Levo SL 2 Frameset,specialized__s-works-turbo-levo-sl-2-framesetset
specialized,Turbo Creo 2 Comp,specialized__turbo-creo-2-comp-shimano-grx-di2
specialized,Turbo Creo 2 Comp,specialized__turbo-creo-2-comp-sram-apex--x1-eagle-axs
specialized,Turbo Creo 2 Comp E5,specialized__turbo-creo-2-comp-e5-sram-apex-eagle
specialized,Turbo Creo 2 Expert,specialized__turbo-creo-2-expert-shimano-grx-di2
specialized,Turbo Kenevo SL 2 Comp,specialized__turbo-kenevo-sl-2-comp
specialized,Turbo Kenevo SL 2 Expert,specialized__turbo-kenevo-sl-2-expert
specialized,Turbo Kenevo SL 2 Öhlins Coil,specialized__turbo-kenevo-sl-2-ohlins-coil
specialized,Turbo Levo 4 Alloy,specialized__turbo-levo-4-alloy
specialized,Turbo Levo 4 Comp,specialized__turbo-levo-4-comp
specialized,Turbo Levo 4 Comp Alloy,specialized__turbo-levo-4-comp-alloy
specialized,Turbo Levo 4 Expert,specialized__turbo-levo-4-expert
specialized,Turbo Levo 4 Pro,specialized__turbo-levo-4-pro
specialized,Turbo Levo R Comp,specialized__turbo-levo-r-comp
specialized,Turbo Levo R Comp Alloy,specialized__turbo-levo-r-comp-alloy
specialized,Turbo Levo R Expert,specialized__turbo-levo-r-expert
specialized,Turbo Levo SL 2 Comp,specialized__turbo-levo-sl-2-comp
specialized,Turbo Levo SL 2 Comp Alloy,specialized__turbo-levo-sl-2-comp-alloy
specialized,Turbo Levo SL 2 Expert,specialized__turbo-levo-sl-2-expert
specialized,Turbo Levo SL 2 Expert Di2,specialized__turbo-levo-sl-2-expert-di2
specialized,Turbo Vado 3 EVO 4.0,specialized__turbo-vado-3-evo-40
specialized,Turbo Vado 3 EVO 5.0,specialized__turbo-vado-3-evo-50
specialized,Turbo Vado 3 EVO 6.0,specialized__turbo-vado-3-evo-60
specialized,Turbo Vado 3 X 4.0,specialized__turbo-vado-3-x-40
specialized,Turbo Vado 3 X 6.0,specialized__turbo-vado-3-x-60
specialized,Turbo Vado SL 2 6.0 Carbon,specialized__turbo-vado-sl-2-60-carbon
specialized,Turbo Vado SL 2 6.0 EQ Carbon,specialized__turbo-vado-sl-2-60-eq-carbon
specialized,Vado SL 2 LTD,specialized__vado-sl-2-ltd-s-racing
tern,GSD P00,tern__gsd-p00
tern,GSD P10,tern__gsd-p10
tern,GSD R14,tern__gsd-r14
tern,GSD S10,tern__gsd-s10
